wety
Ctrl+W

q

Ctrl+W
Ctrl+W
RIGHTCTL
RIGHTCTL+W
RIGHTCTL W
RIGHTCTL W
RIGHTCTL W
RIGHTCTL W
RIGHTCTL W
RIGHTCTRL W
RIGHTCTRL
RIGHTCTRL
RIGHTCTRL
RIGHTCTRL W
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
DATE_WITH_TIME 1:RIGHTCTRL 2:W 3: 4:
2018.12.06 19:30:09 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 19:30:45 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 19:30:50 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 19:30:58 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 19:31:23 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 20:38:38 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 20:38:40 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 20:38:49 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 20:39:42 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 20:40:48 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 11:48:18 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 11:49:26 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 11:54:44 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 11:56:21 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 11:56:25 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:17:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:20:00 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:21:05 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:21:57 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:23:39 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:34:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:37:25 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 12:37:29 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:08:22 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:08:25 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:09:11 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:09:37 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:10:03 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:10:29 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:12:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:12:34 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:13:34 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:13:37 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:19:10 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:19:13 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:19:16 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:20:42 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:21:33 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:56:48 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:57:49 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 13:57:52 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:01:29 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:01:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:04:34 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:05:49 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:06:10 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:09:37 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:09:39 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:10:43 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:11:19 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:11:21 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:12:19 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:16:51 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:21:57 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 14:21:59 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:33:50 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:33:53 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:37:41 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:38:05 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:38:08 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:38:09 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:42:16 VAL1=LEFTMETA VAL2= VAL3= VAL4=
2018.12.07 15:42:30 VAL1=LEFTMETA VAL2=S VAL3= VAL4=
2018.12.07 15:50:59 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:51:02 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 15:52:06 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:14:35 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:14:37 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:32:52 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:36:05 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:36:08 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:38:41 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:39:34 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:41:55 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:42:21 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:43:35 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:43:37 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:43:38 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:43:39 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:44:44 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:45:17 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:45:28 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:46:17 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:46:20 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:47:35 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:55:28 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:59:05 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:59:07 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 16:59:09 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.07 17:01:55 VAL1=LEFTMETA VAL2=G VAL3= VAL4=
